preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.233852265981552,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155846749949662,1972,2,,/title/tt0068646/
3,Batman: El Caballero de la Noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.985437114818783,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.984009339064878,1974,4,,/title/tt0071562/
5,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.947519362783531,1957,5,,/title/tt0050083/
1,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.93524514342729,1993,6,,/title/tt0108052/
2,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.921073323171765,2003,7,,/title/tt0167260/
3,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.850705476256369,1994,8,,/title/tt0110912/
4,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.803608360000018,2001,9,,/title/tt0120737/
5," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.793701214745298,1966,1,,/title/tt0060196/
1,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767271990882481,1994,11,,/title/tt0109830/
2,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.750034714210576,1999,12,,/title/tt0137523/
3,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732876786341583,2010,13,,/title/tt1375666/
4,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.727814099669128,2002,14,,/title/tt0167261/
5,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.701753711496114,1980,15,,/title/tt0080684/
1,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.671107807815712,1999,16,,/title/tt0133093/
2,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.651615077253432,1990,17,,/title/tt0099685/
3,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.641192065601562,1975,18,,/title/tt0073486/
4,"Seven, los siete pecados capitales","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.603973540372698,1995,19,,/title/tt0114369/
5,Los siete samurais,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.599112087741862,1954,20,,/title/tt0047478/
1,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.596938817149159,1946,21,,/title/tt0038650/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.587985890827811,1991,22,,/title/tt0102926/
3,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.578885030932028,2002,23,,/title/tt0317248/
4,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.577739322116638,1998,24,,/title/tt0120815/
5,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.566003839747838,1997,25,,/title/tt0118799/
1,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.559732013690939,1999,26,,/title/tt0120689/
2,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.555354004683927,2014,27,,/title/tt0816692/
3,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.55423022596112,1977,28,,/title/tt0076759/
4,Terminator 2: juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.535052969037686,1991,29,,/title/tt0103064/
5,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.518065433184722,1985,30,,/title/tt0088763/
1,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515377879863006,2001,31,,/title/tt0245429/
2,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508813841560858,1960,32,,/title/tt0054215/
3,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.504494372243098,2002,33,,/title/tt0253474/
4,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.500721380591273,1994,34,,/title/tt0110413/
5,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee",8.495458027901822,2019,35,,/title/tt6751668/
1,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.488406978425337,1994,36,,/title/tt0110357/
2,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.48537260765141,2000,37,,/title/tt0172495/
3,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.484578445420969,1998,38,,/title/tt0120586/
4,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.476330160377525,1995,39,,/title/tt0114814/
5,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.475029921207527,2006,40,,/title/tt0407887/
1,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.46802989743425,2006,41,,/title/tt0482571/
2,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.465591135339032,1942,42,,/title/tt0034583/
3,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.465168150480112,2022,43,,/title/tt1745960/
4,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.460142649477334,2014,44,,/title/tt2582802/
5,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453853520803058,2011,45,,/title/tt1675434/
1,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4497903002572,1936,46,,/title/tt0027977/
2,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.448455106736187,1962,47,,/title/tt0056058/
3,Erase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.447843273039549,1968,48,,/title/tt0064116/
4,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.447529741981125,1988,49,,/title/tt0095327/
5,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.437411737776303,1954,50,,/title/tt0047396/
1,"Alien, el 8° pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.435425325630233,1979,51,,/title/tt0078748/
2,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434315360632908,1931,52,,/title/tt0021749/
3,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.429203445343937,1988,53,,/title/tt0095765/
